movieId,generated_review
281004c8-bbc3-3522-8246-26ee44469bb4,"The story of Neil Armstrong's journey to the moon in 1969, the year he became the first man to walk on the surface of the moon and become the first American to set foot on the lunar surface. Based on the novel by Neil Armstrong, the film is based on Armstrong's book, ""The Man on the Moon""."
ac173b27-b71a-34b3-9888-5304a0e165e0,"In the aftermath of the Civil War, a group of African-American farmers in the South are forced to fight for their lives against the Ku Klux Klan, which is led by a former Confederate general, led by his son-in-law, who is a member of the Confederate States of America."
96f91c04-5e32-39b2-805f-4c1d1bcb3b1b,"A young man is lured into the world of Dr. Caligari, a mad scientist who lives in a gothic mansion with his wife and two children. When he meets a beautiful young woman, he falls in love with her, but soon discovers that she is not who she appears to be. As he tries to unravel the mystery of her disappearance, he finds himself in the middle of a murder mystery."
b70c2dc6-41e7-3240-a38f-5f5e5018eeb1,"The Tramp is a tramp who lives in a Victorian mansion with his wife and their three children. One day, he finds a baby girl abandoned by his parents and takes her in, only to discover that she is the child of an orphaned girl who was abandoned by her mother."
13101368-55d8-30a1-9d41-4271211defbb,"When a young woman is murdered by a vampire, she is taken in by Count Dracula, who takes her as his wife. But when she dies, he returns to life and takes over her body, turning her into a blood-soaked corpse. As she tries to escape him, she discovers that he is not the only vampire in the world, and that he may be even more evil than she thought."
0b3942e5-015f-32c3-918e-b57567e02768,"The Glasses, a bookish, horn-rimmed glasses-wearing man who lives in a small town, moves to New York City to work in a department store. When he is hired to work at a high-rise building, he is forced to climb the building's clock tower in order to make a living."
31380a24-d8b9-309c-9919-2a296414f7d4,"A miner in a small mining town in the American West is forced to leave his wife and young son behind when he is kidnapped by a gang of outlaws and sent to the Gold Rush, where he finds himself at the center of a social revolution that will change the face of the world."
58f41cfc-3c64-3717-a536-077476d01ffc,"In the aftermath of the Russian Revolution of 1917, a group of sailors on board the battleship Potemkin attempt to free the city of Odessa from the grip of the Imperial Russian Navy, but their efforts are met with violent resistance from the city's residents and the Russian army."
8e497f00-f9c0-3e6c-8526-969077b790df,"In the year 2035, a young woman is sent to the city of Metropolis by her father to live with her uncle, who has been sent there by the government to work as a scientist. She is shocked to discover that the city has been transformed into a futuristic metropolis by the arrival of a futuristic robot."
f738f015-343f-3d13-9098-b4db4e1f52d8,"When a train carrying a Confederate general escapes from a train station during the Civil War, it's up to him to save his life and the lives of his passengers and crew as well as the safety of the train and the people on board to stop the train before it is destroyed."
5b9d6d75-a097-3dd7-86e4-5332e3f90e1e,"In 15th century France, Joan of Arc is accused of witchcraft and sentenced to be burned at the stake for her faith. The Maid of Orleans, a young woman who led a revolt against the King of England, is sentenced to death. Her trial is held in a castle in the south of France, and she is accused by the inquisitor of witchcraft."
d353354a-defd-3985-b855-8ca6017a37bb,"Lulu is a young woman who falls in love with a young man, but when she discovers that he is not who he seems to be, she begins to question her relationship with him and her own sexuality. She begins to suspect that he may not be the man she thinks he is, and she is forced to confront her feelings for him."
6d478192-b5bc-36ec-b3b3-e194ba4356a4,"A young German conscript in World War I is sent to France to fight in the trenches of the Western Front, where he falls in love with a young French woman. As the war rages around him, he struggles to find a way to protect her from the horrors of the trenches and to save her."
5255a6c3-59bb-3fc5-b971-c232eff3f841,"The story of the creation of Frankenstein's monster, the man who becomes a monster in the laboratory of Dr. Victor Frankenstein, and how he is transformed from a man to a monster by the hand of his wife Mary Shelley. The story is told from the point of view of a young boy who is raised by his father, a doctor, and his uncle, a scientist."
5f530b97-cc5f-3447-ad33-c7dff15fda61,"Dracula, the Count Dracula of Transylvania, returns to London to take care of his dying wife, Mina, who is suffering from a mysterious illness. When he arrives in London, he is confronted by a group of aristocratic and wealthy people, including Count Dracula's daughter, Countess Adelina, and her husband, Count Dracula’s son Count Dracula."
ce4faf60-7493-3977-8054-f83d3edd66ce,"The Tramp, a homeless man who lives on the streets of New York City, falls in love with a young woman who lives in the same building. But when he discovers that she is a prostitute, he is forced to leave her and return to his home in the suburbs."
4ef7258f-ae1f-3e3b-aa04-6ddb1ed6d74b,"The life of Al Capone, the legendary gangster who terrorized the streets of New York City in the 1920s and 1930s, is depicted through the eyes of Tony Camonte, the son of a mobster who was born in Brooklyn and grew up in the same neighborhood as Al."
a43bfc0d-fc4e-3883-ae1a-1a01bf30bcaa,"The story of a young woman who falls in love with a chauffeur, only to discover that he is her ex-boyfriend's ex-wife, and she is a gold digger, a social climber, and a home wrecker who is determined to get him back."
cec4df7d-cf39-34ed-9afe-a5b5d1dad998,"A series of events in the life of the owners of the Grand Hotel in Nashville, Tennessee, during the 1930s. The hotel is owned by the rich and famous, including Joan Crawford, who runs the hotel with her husband and their two children. When the hotel is taken over by a mobster, the hotel's owner and his family are forced to leave the hotel and move to a new one in the city."
d893bdf8-ac59-3e9f-80e5-6bfb7d0c5ec0,"The story of a man who is hunted by a crocodile on a remote island and is the sole survivor of a fight with the crocodile that leaves him with only his dog to save him from the croc's jaws and the island's only survivor, a mute villain."
e608f862-5f42-3cb1-8da6-a074e626f2ce,"In a small town in the American South, a group of circus performers are forced to perform in a circus in order to earn a living. When they perform a freak show at a local wedding, the guests are shocked to discover that they are not the only ones in the circus."
eb53f25c-f1be-347e-aabb-02deed831394,"An elderly woman is found dead in the woods, and when she wakes up, she finds that she has been transformed into a vampire. Her husband, a doctor, and his wife, a nurse, are the only people who can help her. But when she is discovered to be a vampire, they are forced to confront the terrifying truth that she is not only alive, but also immortal."
ebc8658e-11c5-3c5f-8213-38d316ee033f,"The story of a married couple who has a one-night stand with a stripper and a threesome with a woman they met on the night of the bachelor party. The story is based on the true events of the same name, which took place in the early 1990s."
07c68de3-f421-3fd1-9d0c-e7c3caa62775,"Invisible Man is a scientist who has created a potion that allows him to become invisible. When he is accidentally killed by a car accident, he is taken to a mental hospital where he is treated by a doctor who believes him to be the Invisible Man. But when he is discovered to be alive and well, he begins to suspect that he is not who he appears to be."
